frame_id,row,col,value
ground_01,7,9,#AC9F82
ground_01,7,10,#3B3329
ground_01,7,11,#766D5C
ground_01,7,12,#E9E1C1
ground_01,7,13,#DDD6B8
ground_01,7,14,#DFD8BA
ground_01,7,15,#E1DCC0
ground_01,8,0,#685A40
ground_01,8,1,#31291D
ground_01,8,2,#372E20
ground_01,8,3,#433829
ground_01,8,4,#7B6B50
ground_01,8,5,#9B8B6E
ground_01,8,6,#948773
ground_01,8,7,#A89C87
ground_01,8,8,#A99D7F
ground_01,8,9,#88785B
ground_01,8,10,#3A2F25
ground_01,8,11,#736956
ground_01,8,12,#E7DBB7
ground_01,8,13,#DBD0AE
ground_01,8,14,#D7CCAB
ground_01,8,15,#D8CDAD
ground_01,9,0,#66593F
ground_01,9,1,#322A1E
ground_01,9,2,#31291E
ground_01,9,3,#372E21
ground_01,9,4,#7C6C50
ground_01,9,5,#9A8C72
ground_01,9,6,#978B77
ground_01,9,7,#A39682
ground_01,9,8,#AA9D7F
ground_01,9,9,#746146
ground_01,9,10,#3B3024
ground_01,9,11,#756A54
ground_01,9,12,#DCCDA7
ground_01,9,13,#CFC19D
ground_01,9,14,#D5C7A2
ground_01,9,15,#D4C6A2
ground_01,10,0,#63573D
ground_01,10,1,#342C1F
ground_01,10,2,#362E22
ground_01,10,3,#453B2A
ground_01,10,4,#7A6B4F
ground_01,10,5,#887F6C
ground_01,10,6,#998B76
ground_01,10,7,#998975
ground_01,10,8,#A89C80
ground_01,10,9,#6E5C43
ground_01,10,10,#403526
ground_01,10,11,#7A7057
ground_01,10,12,#C7B790
ground_01,10,13,#B8AA86
ground_01,10,14,#D9C9A1
ground_01,10,15,#D4C49D
ground_01,11,0,#62563D
ground_01,11,1,#383022
ground_01,11,2,#3C3426
ground_01,11,3,#504633
ground_01,11,4,#6C5D45
ground_01,11,5,#767061
ground_01,11,6,#988873
ground_01,11,7,#948470
ground_01,11,8,#A4987D
ground_01,11,9,#63523C
ground_01,11,10,#443928
ground_01,11,11,#80745B
ground_01,11,12,#B2A27D
ground_01,11,13,#A99A77
ground_01,11,14,#E1D0A5
ground_01,11,15,#D7C79D
ground_01,12,0,#64583E
ground_01,12,1,#3F3726
ground_01,12,2,#443C2A
ground_01,12,3,#5A4F3A
ground_01,12,4,#4F4232
ground_01,12,5,#635E53
ground_01,12,6,#93836E
ground_01,12,7,#958470
ground_01,12,8,#9D9177
ground_01,12,9,#534330
ground_01,12,10,#493C2B
ground_01,12,11,#85785E
ground_01,12,12,#9D8E6E
ground_01,12,13,#A19271
ground_01,12,14,#ECDCAE
ground_01,12,15,#DDCDA2
ground_01,13,0,#65593F
ground_01,13,1,#413929
ground_01,13,2,#48412E
ground_01,13,3,#5C523C
ground_01,13,4,#4B3E2F
ground_01,13,5,#5B564B
ground_01,13,6,#8E7E69
ground_01,13,7,#958571
ground_01,13,8,#9D9279
ground_01,13,9,#50402F
ground_01,13,10,#524432
ground_01,13,11,#83765D
ground_01,13,12,#908367
ground_01,13,13,#918266
ground_01,13,14,#EEDEB1
ground_01,13,15,#E3D3A8
ground_01,14,0,#635840
ground_01,14,1,#3E3828
ground_01,14,2,#494331
ground_01,14,3,#574E3B
ground_01,14,4,#5D4E3B
ground_01,14,5,#5E564A
ground_01,14,6,#897A65
ground_01,14,7,#958672
ground_01,14,8,#A49A82
ground_01,14,9,#594A37
ground_01,14,10,#5F503D
ground_01,14,11,#7A6E58
ground_01,14,12,#8D8167
ground_01,14,13,#7A6E56
ground_01,14,14,#E6D7AC
ground_01,14,15,#E8D8AD
ground_01,15,0,#635840
ground_01,15,1,#3D3728
ground_01,15,2,#494333
ground_01,15,3,#544B3A
ground_01,15,4,#655641
ground_01,15,5,#5F574A
ground_01,15,6,#867762
ground_01,15,7,#958672
ground_01,15,8,#A79E86
ground_01,15,9,#5D4E3B
ground_01,15,10,#655642
ground_01,15,11,#766B55
ground_01,15,12,#8B8067
ground_01,15,13,#6F644F
ground_01,15,14,#E2D3AA
ground_01,15,15,#EADBB0
